"?a  <dbo:north>  ?b   => ?a  <dbo:east>  ?b"	0	25
"?a  <dbo:northeast>  ?b   => ?a  <dbo:east>  ?b"	0	51
"?b  <dbo:southwest>  ?a   => ?a  <dbo:east>  ?b"	0	46
"?b  <dbo:south>  ?a   => ?a  <dbo:east>  ?b"	0	19
"?b  <dbo:west>  ?a   => ?a  <dbo:east>  ?b"	0	593
"?b  <dbo:north>  ?a   => ?a  <dbo:east>  ?b"	0	19
"?a  <dbo:sourceLocation>  ?b   => ?a  <dbo:tributaryLeft>  ?b"	0	9
"?b  <dbo:mouthName>  ?a   => ?a  <dbo:tributaryLeft>  ?b"	0	112
"?b  <dbo:northwest>  ?a   => ?a  <dbo:east>  ?b"	0	50
"?b  <dbo:previousevent>  ?a   => ?a  <dbo:nextevent>  ?b"	0	14
"?a  <dbo:lastevent>  ?b   => ?a  <dbo:nextevent>  ?b"	0	17
"?b  <dbo:mouth>  ?a   => ?a  <dbo:tributaryLeft>  ?b"	0	10
"?b  <dbo:lastevent>  ?a   => ?a  <dbo:nextevent>  ?b"	0	71
"?b  <dbo:same>  ?a   => ?a  <dbo:same>  ?b"	0	77
"?a  <dbo:currentclub>  ?b   => ?a  <dbo:managerclubs>  ?b"	0	319
"?a  <dbo:siteStadium>  ?b   => ?a  <dbo:stadiumarena>  ?b"	0	69
"?a  <dbo:medalcountrybronzeProperty>  ?b   => ?a  <dbo:medalcountrysilverProperty>  ?b"	0	18
"?b  <dbo:subdivision>  ?a   => ?a  <dbo:superfamilia>  ?b"	0	147
"?a  <dbo:medalcountrygoldProperty>  ?b   => ?a  <dbo:medalcountrysilverProperty>  ?b"	0	23
"?a  <dbo:outgoing>  ?b   => ?a  <dbo:winner>  ?b"	0	14
"?a  <dbo:allStars>  ?b   => ?a  <dbo:winner>  ?b"	0	4
"?a  <dbo:mostWinsDriver>  ?b   => ?a  <dbo:winner>  ?b"	0	7
"?a  <dbo:nationalteam>  ?b   => ?a  <dbo:managerclubs>  ?b"	0	98
"?a  <dbo:fastestLapDriver>  ?b   => ?a  <dbo:winner>  ?b"	0	16
"?a  <dbo:related>  ?b   => ?a  <dbo:same>  ?b"	0	9
"?a  <dbo:poleDriver>  ?b   => ?a  <dbo:winner>  ?b"	0	11
"?b  <dbo:season>  ?a   => ?a  <dbo:winner>  ?b"	0	7
"?b  <dbo:nationalcompetition>  ?a   => ?a  <dbo:winner>  ?b"	0	5
"?a  <dbo:media>  ?b   => ?a  <dbo:requirements>  ?b"	0	28
"?a  <dbo:writer>  ?b   => ?a  <dbo:executiveProducer>  ?b"	3	20
"?a  <dbo:platforms>  ?b   => ?a  <dbo:requirements>  ?b"	0	94
"?a  <dbo:nearSe>  ?b   => ?a  <dbo:nearNe>  ?b"	0	146
"?a  <dbo:nearS>  ?b   => ?a  <dbo:nearNe>  ?b"	0	21
"?a  <dbo:nearNw>  ?b   => ?a  <dbo:nearNe>  ?b"	0	92
"?b  <dbo:nearSe>  ?a   => ?a  <dbo:nearNe>  ?b"	0	23
"?a  <dbo:nearE>  ?b   => ?a  <dbo:nearNe>  ?b"	0	485
"?b  <dbo:years>  ?a   => ?a  <dbo:winner>  ?b"	0	27
"?a  <dbo:starring>  ?b   => ?a  <dbo:executiveProducer>  ?b"	60	56
"?a  <dbo:nearW>  ?b   => ?a  <dbo:nearNe>  ?b"	0	29
"?a  <dbo:nearN>  ?b   => ?a  <dbo:nearNe>  ?b"	0	402
